,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval0,PromoInterval1,PromoInterval2,PromoInterval3
455,456,0,2,140,1,1990,0,0,0,0,0,0,0
456,457,3,2,13140,1,1990,1,31,2013,1,4,7,10
457,458,2,0,3390,1,1990,0,0,0,0,0,0,0
458,459,0,0,250,9,2008,1,5,2013,2,5,8,11
459,460,0,0,34050,4,2008,0,0,0,0,0,0,0
460,461,3,2,1790,7,2013,1,40,2013,1,4,7,10
461,462,0,0,44320,8,2008,0,0,0,0,0,0,0
462,463,0,0,4160,1,1990,0,0,0,0,0,0,0
463,464,2,0,520,3,2009,0,0,0,0,0,0,0
464,465,3,2,10890,4,2005,0,0,0,0,0,0,0
465,466,0,2,3110,3,2003,0,0,0,0,0,0,0
466,467,0,2,20390,4,2008,0,0,0,0,0,0,0
467,468,2,2,5260,9,2012,0,0,0,0,0,0,0
468,469,2,2,710,9,2005,0,0,0,0,0,0,0
469,470,0,2,50,1,1990,0,0,0,0,0,0,0
470,471,3,0,5300,1,1990,1,45,2009,2,5,8,11
471,472,2,2,5030,8,2011,0,0,0,0,0,0,0
472,473,0,0,50,1,1990,0,0,0,0,0,0,0
473,474,2,0,14810,1,1990,1,14,2011,3,6,9,12
474,475,0,0,140,9,2005,0,0,0,0,0,0,0
475,476,3,0,8300,9,2006,0,0,0,0,0,0,0
476,477,3,0,770,7,2010,1,35,2010,1,4,7,10
477,478,3,2,1940,3,2012,0,0,0,0,0,0,0
478,479,0,0,320,12,2005,1,9,2011,2,5,8,11
479,480,0,0,300,11,2012,0,0,0,0,0,0,0
480,481,2,2,7470,1,1990,1,44,2012,2,5,8,11
481,482,2,0,2550,10,2005,0,0,0,0,0,0,0
482,483,0,2,2310,9,2011,1,13,2010,1,4,7,10
483,484,0,2,14300,3,2011,0,0,0,0,0,0,0
484,485,3,2,3270,1,1990,1,22,2012,1,4,7,10
485,486,0,0,2320,1,1990,1,31,2013,1,4,7,10
486,487,3,2,2180,9,2012,1,40,2012,1,4,7,10
487,488,0,2,2890,4,2014,0,0,0,0,0,0,0
488,489,0,0,14960,11,2013,1,37,2009,1,4,7,10
489,490,0,0,660,4,2013,1,40,2014,1,4,7,10
490,491,3,2,4680,1,1990,1,22,2012,3,6,9,12
491,492,0,0,1740,3,2008,1,40,2012,1,4,7,10
492,493,3,2,1150,1,1990,1,14,2011,1,4,7,10
493,494,1,0,1260,6,2011,0,0,0,0,0,0,0
494,495,3,0,5470,1,1990,1,37,2009,1,4,7,10
495,496,3,2,2780,6,2015,0,0,0,0,0,0,0
496,497,0,2,1610,1,1990,0,0,0,0,0,0,0
497,498,0,0,990,1,1990,1,40,2014,1,4,7,10
498,499,2,2,450,1,1990,1,5,2013,2,5,8,11
499,500,3,2,10690,9,2007,1,5,2013,1,4,7,10
500,501,0,2,1620,9,2006,0,0,0,0,0,0,0
501,502,0,0,220,2,2002,1,37,2009,1,4,7,10
502,503,3,2,13080,9,2006,1,14,2011,1,4,7,10
503,504,2,2,820,1,1990,0,0,0,0,0,0,0
504,505,0,0,350,1,1990,1,5,2013,2,5,8,11
505,506,0,0,1850,12,2014,1,18,2011,2,5,8,11
506,507,0,2,9070,4,2011,1,37,2009,1,4,7,10
507,508,0,2,1280,1,1990,1,40,2011,1,4,7,10
508,509,0,0,4740,7,2008,1,37,2009,1,4,7,10
509,510,0,2,8260,1,1990,0,0,0,0,0,0,0
510,511,0,0,2060,9,2009,0,0,0,0,0,0,0
511,512,1,1,590,1,1990,1,5,2013,3,6,9,12
512,513,0,0,400,8,2013,0,0,0,0,0,0,0
513,514,2,2,1200,7,2012,1,27,2012,1,4,7,10
514,515,3,2,11260,1,1990,1,9,2011,2,5,8,11
515,516,0,2,20,1,1990,1,35,2010,3,6,9,12
516,517,0,2,22490,1,1990,0,0,0,0,0,0,0
517,518,3,2,3330,3,2015,1,13,2010,1,4,7,10
518,519,2,2,2510,8,2009,1,1,2012,1,4,7,10
519,520,0,2,6900,1,1990,1,40,2012,3,6,9,12
520,521,3,0,18610,11,2002,1,48,2011,3,6,9,12
521,522,3,2,7160,11,2012,1,9,2011,1,4,7,10
522,523,2,2,50,11,2013,0,0,0,0,0,0,0
523,524,0,2,40860,9,2013,0,0,0,0,0,0,0
524,525,3,2,1870,9,2013,0,0,0,0,0,0,0
525,526,0,0,120,1,1990,1,48,2011,3,6,9,12
526,527,3,2,5830,4,2008,0,0,0,0,0,0,0
527,528,0,2,20620,1,1990,1,37,2009,1,4,7,10
528,529,3,2,12920,9,2012,0,0,0,0,0,0,0
529,530,0,2,18160,1,1990,0,0,0,0,0,0,0
530,531,0,2,4030,1,1990,0,0,0,0,0,0,0
531,532,0,2,1070,8,2010,0,0,0,0,0,0,0
532,533,0,2,5950,1,1990,0,0,0,0,0,0,0
533,534,3,0,1200,9,2009,1,45,2009,1,4,7,10
534,535,0,0,3570,4,2007,0,0,0,0,0,0,0
535,536,0,2,4700,9,2002,1,31,2013,2,5,8,11
536,537,0,0,600,5,2002,1,1,2012,1,4,7,10
537,538,0,0,990,2,2010,0,0,0,0,0,0,0
538,539,0,0,770,5,2013,1,40,2014,1,4,7,10
539,540,3,2,810,1,1990,1,48,2012,1,4,7,10
540,541,0,2,650,7,1990,0,0,0,0,0,0,0
541,542,0,0,7280,9,2012,1,1,2013,1,4,7,10
542,543,2,0,1080,12,2012,0,0,0,0,0,0,0
543,544,0,0,250,12,2001,1,13,2010,1,4,7,10
544,545,0,2,5020,5,2006,1,18,2014,2,5,8,11
545,546,0,0,580,1,2005,0,0,0,0,0,0,0
546,547,3,2,8990,11,2009,1,35,2010,3,6,9,12
547,548,3,2,3760,2,2009,0,0,0,0,0,0,0
548,549,0,2,2330,1,1990,0,0,0,0,0,0,0
549,550,3,2,50,6,2015,0,0,0,0,0,0,0
550,551,0,2,2190,9,2013,0,0,0,0,0,0,0
551,552,0,0,4260,7,2008,1,37,2009,1,4,7,10
552,553,2,0,3040,9,2002,1,13,2010,1,4,7,10
553,554,2,2,1200,1,1990,0,0,0,0,0,0,0
554,555,3,0,1560,1,2014,1,10,2013,3,6,9,12
555,556,3,2,1140,11,2014,0,0,0,0,0,0,0
556,557,0,0,250,1,1990,0,0,0,0,0,0,0
557,558,0,0,3000,2,2010,0,0,0,0,0,0,0
558,559,3,0,3910,11,2006,1,5,2013,2,5,8,11
559,560,2,2,1910,7,2013,0,0,0,0,0,0,0
560,561,3,0,14300,1,1990,0,0,0,0,0,0,0
561,562,1,2,1210,1,1990,0,0,0,0,0,0,0
562,563,0,0,700,3,2015,1,10,2014,1,4,7,10
563,564,3,2,6540,1,1990,1,14,2013,1,4,7,10
564,565,0,2,160,7,2007,0,0,0,0,0,0,0
565,566,0,0,3620,1,1990,1,40,2013,1,4,7,10
566,567,2,0,1010,9,2012,1,18,2011,2,5,8,11
567,568,3,2,4270,1,1990,1,1,2013,1,4,7,10
568,569,0,0,1340,9,2006,0,0,0,0,0,0,0
569,570,0,0,180,11,2006,0,0,0,0,0,0,0
570,571,3,0,2110,11,1995,1,40,2014,1,4,7,10
571,572,3,2,9230,4,2004,1,37,2009,1,4,7,10
572,573,0,0,1190,11,2012,1,36,2013,1,4,7,10
573,574,3,0,4400,1,1990,0,0,0,0,0,0,0
574,575,0,0,960,5,2008,1,13,2010,1,4,7,10
575,576,2,0,50,11,2006,0,0,0,0,0,0,0
576,577,0,2,2270,1,1990,1,35,2012,3,6,9,12
577,578,3,0,12700,4,2013,0,0,0,0,0,0,0
578,579,2,0,20970,11,2012,0,0,0,0,0,0,0
579,580,0,2,170,2,2009,0,0,0,0,0,0,0
580,581,0,0,7250,12,2013,0,0,0,0,0,0,0
581,582,0,0,120,1,1990,0,0,0,0,0,0,0
582,583,0,0,2640,11,2002,0,0,0,0,0,0,0
583,584,3,0,1360,1,1990,1,35,2010,3,6,9,12
584,585,3,2,440,4,2014,0,0,0,0,0,0,0
585,586,0,2,250,10,2008,0,0,0,0,0,0,0
586,587,3,2,330,9,2006,1,14,2011,1,4,7,10
587,588,3,2,15720,3,2010,0,0,0,0,0,0,0
588,589,0,2,360,1,1990,1,18,2013,2,5,8,11
589,590,3,2,4520,9,2010,1,31,2013,1,4,7,10
590,591,0,2,3340,1,1990,1,22,2012,3,6,9,12
591,592,0,0,2540,6,2005,0,0,0,0,0,0,0
592,593,0,2,33060,3,2010,0,0,0,0,0,0,0
593,594,0,0,1790,10,2011,0,0,0,0,0,0,0
594,595,2,2,1130,6,2015,0,0,0,0,0,0,0
595,596,2,0,290,9,2006,0,0,0,0,0,0,0
596,597,0,0,150,9,2008,1,1,2012,3,6,9,12
597,598,2,0,550,12,2013,1,40,2014,1,4,7,10
598,599,3,2,580,11,2014,0,0,0,0,0,0,0
599,600,3,2,17340,6,2010,1,9,2011,2,5,8,11
600,601,3,0,8220,4,2014,1,14,2011,1,4,7,10
601,602,0,0,2710,7,2001,1,22,2012,3,6,9,12
602,603,0,0,340,4,2007,1,13,2010,1,4,7,10
603,604,3,0,10950,3,2014,0,0,0,0,0,0,0
604,605,3,0,10310,4,2003,1,37,2009,1,4,7,10
605,606,0,0,2260,11,2007,0,0,0,0,0,0,0
606,607,0,0,350,8,1999,1,14,2011,1,4,7,10
607,608,0,2,18370,2,2013,1,14,2011,1,4,7,10
608,609,0,0,2070,9,2007,0,0,0,0,0,0,0
609,610,0,0,660,1,2007,0,0,0,0,0,0,0
610,611,0,0,8080,12,2002,1,40,2014,1,4,7,10
611,612,3,2,2490,11,2012,1,31,2009,1,4,7,10
612,613,2,0,250,6,2007,1,14,2011,1,4,7,10
613,614,0,0,1160,12,2012,0,0,0,0,0,0,0
614,615,3,0,730,8,2007,0,0,0,0,0,0,0
615,616,0,2,3040,8,2011,1,35,2010,3,6,9,12
616,617,0,2,8940,1,1990,1,9,2011,1,4,7,10
617,618,3,2,9910,1,1990,0,0,0,0,0,0,0
618,619,0,0,1600,6,2006,1,45,2009,2,5,8,11
619,620,3,2,5440,1,1990,1,40,2014,1,4,7,10
620,621,0,0,30,7,2002,0,0,0,0,0,0,0
621,622,0,2,2325,1,1990,0,0,0,0,0,0,0
622,623,0,0,4080,3,2011,1,13,2010,1,4,7,10
623,624,0,2,6920,9,2011,0,0,0,0,0,0,0
624,625,0,0,1170,4,2011,1,22,2012,2,5,8,11
625,626,2,2,10740,11,2013,0,0,0,0,0,0,0
626,627,2,2,3970,3,2010,0,0,0,0,0,0,0
627,628,0,2,2180,1,1990,0,0,0,0,0,0,0
628,629,3,0,510,7,2014,1,23,2015,3,6,9,12
629,630,0,0,1690,4,2015,0,0,0,0,0,0,0
630,631,3,2,2870,1,1990,1,35,2012,3,6,9,12
631,632,0,0,3350,2,2010,0,0,0,0,0,0,0
632,633,3,0,11640,4,2005,1,22,2011,1,4,7,10
633,634,3,0,18610,1,1990,0,0,0,0,0,0,0
634,635,0,0,27530,4,2014,0,0,0,0,0,0,0
635,636,2,0,720,10,2004,1,13,2010,1,4,7,10
636,637,3,2,9790,1,1990,1,31,2009,2,5,8,11
637,638,3,0,10170,11,2001,0,0,0,0,0,0,0
638,639,0,0,7780,11,2006,0,0,0,0,0,0,0
639,640,3,2,8040,1,1990,0,0,0,0,0,0,0
640,641,0,2,610,12,2003,1,36,2013,3,6,9,12
641,642,2,2,530,4,2005,1,35,2010,3,6,9,12
642,643,0,0,230,6,2010,1,18,2010,2,5,8,11
643,644,2,0,4030,12,2004,1,14,2011,1,4,7,10
644,645,0,0,90,1,1990,1,45,2009,2,5,8,11
645,646,0,0,620,9,2014,0,0,0,0,0,0,0
646,647,0,2,7420,4,2013,0,0,0,0,0,0,0
647,648,3,0,2130,12,2008,0,0,0,0,0,0,0
648,649,0,0,14570,11,2002,0,0,0,0,0,0,0
649,650,0,0,1420,10,2012,1,40,2014,1,4,7,10
650,651,0,0,200,1,1990,0,0,0,0,0,0,0
651,652,0,0,20390,1,1990,0,0,0,0,0,0,0
652,653,3,2,7520,7,2014,1,45,2009,2,5,8,11
653,654,2,0,6930,9,2006,0,0,0,0,0,0,0
654,655,3,2,960,11,2012,1,5,2013,2,5,8,11
655,656,3,0,410,4,2009,1,13,2010,1,4,7,10
656,657,2,2,80,1,2006,1,10,2014,1,4,7,10
657,658,3,2,520,1,1990,1,37,2009,1,4,7,10
658,659,3,0,1590,3,2012,0,0,0,0,0,0,0
659,660,0,0,1200,11,2006,1,40,2014,1,4,7,10
660,661,3,2,2140,7,2013,0,0,0,0,0,0,0
661,662,3,0,1070,1,1990,0,0,0,0,0,0,0
662,663,0,2,7860,5,2005,0,0,0,0,0,0,0
663,664,3,2,1680,10,2005,0,0,0,0,0,0,0
664,665,0,0,90,12,2012,1,14,2011,1,4,7,10
665,666,2,2,2700,1,1990,1,9,2011,3,6,9,12
666,667,3,2,2870,9,2012,0,0,0,0,0,0,0
667,668,2,0,1270,9,2010,0,0,0,0,0,0,0
668,669,3,0,17080,7,2012,1,31,2013,1,4,7,10
669,670,0,0,2060,1,1990,1,45,2009,2,5,8,11
670,671,0,2,2070,2,2008,1,39,2010,1,4,7,10
671,672,2,0,240,9,2002,0,0,0,0,0,0,0
672,673,3,2,15170,1,1990,1,5,2013,2,5,8,11
673,674,0,0,2640,12,2005,1,31,2013,2,5,8,11
674,675,0,0,2100,8,2013,1,14,2011,1,4,7,10
675,676,1,1,1410,9,2008,0,0,0,0,0,0,0
676,677,3,0,1740,6,2014,1,45,2009,2,5,8,11
677,678,2,0,3250,1,1990,1,40,2011,1,4,7,10
678,679,0,0,4140,9,2012,0,0,0,0,0,0,0
679,680,2,0,170,1,1990,1,35,2012,3,6,9,12
680,681,0,2,620,1,1990,1,1,2014,3,6,9,12
681,682,1,0,150,9,2006,0,0,0,0,0,0,0
682,683,0,0,2850,7,2014,0,0,0,0,0,0,0
683,684,3,2,680,1,1990,1,22,2012,1,4,7,10
684,685,0,0,650,11,2013,1,37,2009,1,4,7,10
685,686,0,0,20050,4,2002,0,0,0,0,0,0,0
686,687,3,2,2770,1,1990,0,0,0,0,0,0,0
687,688,0,0,18760,8,2015,1,14,2011,1,4,7,10
688,689,3,0,15040,10,2004,0,0,0,0,0,0,0
689,690,0,0,100,1,1990,0,0,0,0,0,0,0
690,691,3,2,3030,1,1990,1,37,2009,1,4,7,10
691,692,0,0,40,8,2001,0,0,0,0,0,0,0
692,693,3,0,450,1,1990,1,40,2011,1,4,7,10
693,694,0,2,460,11,2012,1,40,2014,1,4,7,10
694,695,0,0,550,7,2011,1,1,2012,1,4,7,10
695,696,0,2,430,1,1990,0,0,0,0,0,0,0
696,697,3,0,3780,1,1990,1,40,2011,1,4,7,10
697,698,0,0,1790,5,2011,0,0,0,0,0,0,0
698,699,0,0,180,1,1990,1,5,2013,1,4,7,10
699,700,0,2,830,1,1990,1,27,2013,1,4,7,10
700,701,3,0,1450,3,2012,1,14,2011,1,4,7,10
701,702,0,0,8550,9,2001,1,45,2009,2,5,8,11
702,703,0,0,80,6,2005,0,0,0,0,0,0,0
703,704,3,2,1910,4,2009,0,0,0,0,0,0,0
704,705,0,0,4140,9,2012,1,18,2011,2,5,8,11
705,706,3,0,7830,9,2014,1,10,2014,3,6,9,12
706,707,0,2,2900,7,1990,0,0,0,0,0,0,0
707,708,2,2,11470,10,2009,1,18,2014,1,4,7,10
708,709,0,0,500,12,2010,0,0,0,0,0,0,0
709,710,3,0,1500,9,2008,1,14,2011,1,4,7,10
710,711,3,0,17110,3,2007,1,5,2010,1,4,7,10
711,712,0,0,4870,9,2007,1,45,2009,1,4,7,10
712,713,0,2,220,1,1990,1,10,2014,1,4,7,10
713,714,3,2,12070,10,2005,1,10,2013,1,4,7,10
714,715,0,0,14810,6,2014,0,0,0,0,0,0,0
715,716,3,0,3200,1,2008,1,22,2011,1,4,7,10
716,717,3,2,310,1,1990,1,40,2011,1,4,7,10
717,718,0,0,1100,6,2015,0,0,0,0,0,0,0
718,719,2,2,8190,1,1990,1,45,2009,2,5,8,11
719,720,0,2,15320,3,2011,1,14,2013,2,5,8,11
720,721,0,2,3590,9,2012,1,22,2012,3,6,9,12
721,722,0,0,50,1,1990,0,0,0,0,0,0,0
722,723,3,2,5650,9,2008,1,5,2013,2,5,8,11
723,724,3,2,5900,1,1990,0,0,0,0,0,0,0
724,725,3,2,17540,6,2012,0,0,0,0,0,0,0
725,726,0,2,40540,2,2002,0,0,0,0,0,0,0
726,727,0,0,2050,3,2007,0,0,0,0,0,0,0
727,728,3,0,13990,1,1990,1,14,2011,1,4,7,10
728,729,2,2,8980,6,2011,0,0,0,0,0,0,0
729,730,2,0,1190,9,2013,0,0,0,0,0,0,0
730,731,0,0,15270,1,1990,1,10,2014,1,4,7,10
731,732,0,2,35280,1,1990,0,0,0,0,0,0,0
732,733,1,1,860,10,1999,0,0,0,0,0,0,0
733,734,0,0,220,1,1990,1,36,2013,3,6,9,12
734,735,3,2,1920,4,2005,0,0,0,0,0,0,0
735,736,2,2,1650,1,1990,1,14,2011,1,4,7,10
736,737,0,0,100,5,2007,1,31,2013,1,4,7,10
737,738,3,2,5980,10,2005,0,0,0,0,0,0,0
738,739,3,2,2770,6,2008,1,22,2011,1,4,7,10
739,740,3,0,6400,3,2014,0,0,0,0,0,0,0
740,741,3,2,11900,1,1990,0,0,0,0,0,0,0
741,742,3,2,4380,1,1990,0,0,0,0,0,0,0
742,743,0,0,6710,11,2003,1,14,2012,1,4,7,10
743,744,0,0,1370,12,2011,1,40,2014,1,4,7,10
744,745,0,0,17650,11,2013,1,37,2009,1,4,7,10
745,746,3,2,4330,2,2011,1,35,2011,3,6,9,12
746,747,2,2,45740,8,2008,0,0,0,0,0,0,0
747,748,3,0,2380,3,2010,1,14,2011,1,4,7,10
748,749,0,0,3410,8,2011,1,14,2015,1,4,7,10
749,750,3,0,8670,2,2002,1,14,2011,1,4,7,10
750,751,0,0,650,10,2006,0,0,0,0,0,0,0
751,752,0,0,970,3,2013,1,31,2013,2,5,8,11
752,753,3,2,540,11,2012,1,35,2010,3,6,9,12
753,754,2,2,380,5,2008,1,10,2014,3,6,9,12
754,755,3,2,13130,12,2003,0,0,0,0,0,0,0
755,756,0,2,50,1,1990,1,40,2011,1,4,7,10
756,757,0,2,3450,1,1990,0,0,0,0,0,0,0
757,758,0,2,19780,6,2008,0,0,0,0,0,0,0
758,759,0,0,110,11,2012,1,31,2013,2,5,8,11
759,760,0,0,560,1,2011,0,0,0,0,0,0,0
760,761,0,0,2390,9,2012,0,0,0,0,0,0,0
761,762,3,2,1280,1,1990,1,10,2013,3,6,9,12
762,763,3,2,32240,3,2010,0,0,0,0,0,0,0
763,764,0,2,26490,1,1990,1,10,2014,3,6,9,12
764,765,0,2,25430,5,1999,1,37,2009,1,4,7,10
765,766,3,2,9820,1,1990,0,0,0,0,0,0,0
766,767,0,2,13080,1,1990,0,0,0,0,0,0,0
767,768,0,2,2630,9,2012,0,0,0,0,0,0,0
768,769,1,1,840,1,1990,1,48,2012,1,4,7,10
769,770,0,2,100,4,2015,0,0,0,0,0,0,0
770,771,0,0,20640,9,2007,0,0,0,0,0,0,0
771,772,3,2,1850,1,1990,0,0,0,0,0,0,0
772,773,0,0,200,1,1990,0,0,0,0,0,0,0
773,774,0,2,640,9,2013,0,0,0,0,0,0,0
774,775,3,2,6970,12,2005,1,22,2011,1,4,7,10
775,776,2,0,700,4,2009,1,14,2011,1,4,7,10
776,777,3,2,8250,10,2004,1,10,2013,3,6,9,12
777,778,0,0,340,6,2003,1,40,2014,1,4,7,10
778,779,0,0,16990,4,2004,0,0,0,0,0,0,0
779,780,0,0,18160,1,1990,0,0,0,0,0,0,0
780,781,0,0,630,4,2007,0,0,0,0,0,0,0
781,782,2,2,5390,8,2003,1,1,2012,1,4,7,10
782,783,3,2,15490,1,1990,0,0,0,0,0,0,0
783,784,0,0,560,10,2014,1,10,2014,1,4,7,10
784,785,3,2,970,7,2005,1,31,2013,2,5,8,11
785,786,0,0,290,11,2006,1,5,2013,2,5,8,11
786,787,2,2,3210,6,2009,0,0,0,0,0,0,0
787,788,0,2,1530,3,2013,0,0,0,0,0,0,0
788,789,0,2,9770,7,2003,0,0,0,0,0,0,0
789,790,3,2,9070,12,2003,0,0,0,0,0,0,0
790,791,0,0,5950,4,2007,0,0,0,0,0,0,0
791,792,3,0,17280,10,2009,1,18,2011,2,5,8,11
792,793,3,0,2710,7,2006,0,0,0,0,0,0,0
793,794,2,2,5090,9,2006,0,0,0,0,0,0,0
794,795,3,0,510,1,1990,1,35,2010,3,6,9,12
795,796,0,2,7180,11,2012,0,0,0,0,0,0,0
796,797,0,0,2090,10,2012,1,40,2014,1,4,7,10
797,798,0,0,9560,4,2001,0,0,0,0,0,0,0
798,799,0,2,2700,1,1990,0,0,0,0,0,0,0
799,800,3,0,2020,7,2014,0,0,0,0,0,0,0
800,801,3,0,48330,4,2013,0,0,0,0,0,0,0
801,802,0,2,910,1,1990,1,22,2011,2,5,8,11
802,803,3,0,1760,1,1990,1,10,2014,3,6,9,12
803,804,2,2,2100,1,1990,1,1,2013,1,4,7,10
804,805,3,0,24770,10,2011,1,10,2014,3,6,9,12
805,806,3,0,260,1,1990,1,44,2010,2,5,8,11
806,807,0,0,3870,4,2008,0,0,0,0,0,0,0
807,808,0,0,18620,1,1990,1,31,2009,2,5,8,11
808,809,0,0,12770,10,2000,0,0,0,0,0,0,0
809,810,3,2,9640,11,2013,0,0,0,0,0,0,0
810,811,0,0,410,9,2012,0,0,0,0,0,0,0
811,812,3,0,2590,9,2012,0,0,0,0,0,0,0
812,813,0,0,1560,9,2003,0,0,0,0,0,0,0
813,814,3,2,24530,7,2013,0,0,0,0,0,0,0
814,815,0,0,590,1,1900,1,40,2014,1,4,7,10
815,816,2,2,460,1,1990,0,0,0,0,0,0,0
816,817,0,0,140,3,2006,0,0,0,0,0,0,0
817,818,3,0,490,1,1990,1,35,2010,3,6,9,12
818,819,0,2,720,10,2014,0,0,0,0,0,0,0
819,820,0,2,1650,1,1990,1,40,2014,1,4,7,10
820,821,0,0,1700,9,2009,0,0,0,0,0,0,0
821,822,0,2,410,11,2010,1,48,2010,3,6,9,12
822,823,0,2,16210,11,2010,0,0,0,0,0,0,0
823,824,0,0,17570,1,1990,0,0,0,0,0,0,0
824,825,0,0,380,5,2011,1,40,2014,1,4,7,10
825,826,0,2,7980,6,2005,0,0,0,0,0,0,0
826,827,0,2,250,1,2005,0,0,0,0,0,0,0
827,828,3,2,3290,12,2014,0,0,0,0,0,0,0
828,829,2,0,110,1,1990,0,0,0,0,0,0,0
829,830,0,2,6320,1,1990,1,5,2011,1,4,7,10
830,831,0,0,800,6,2007,0,0,0,0,0,0,0
831,832,3,0,5070,1,1990,1,45,2009,2,5,8,11
832,833,3,2,3290,12,1999,1,35,2010,3,6,9,12
833,834,0,0,3470,3,2012,0,0,0,0,0,0,0
834,835,0,0,2890,12,2007,1,10,2014,3,6,9,12
835,836,0,0,2720,9,2012,0,0,0,0,0,0,0
836,837,0,2,14600,4,2015,0,0,0,0,0,0,0
837,838,3,2,6890,1,1990,1,48,2011,3,6,9,12
838,839,2,0,240,1,2015,0,0,0,0,0,0,0
839,840,0,0,1070,9,2009,0,0,0,0,0,0,0
840,841,0,0,27650,8,2004,0,0,0,0,0,0,0
841,842,3,2,1200,11,2007,0,0,0,0,0,0,0
842,843,2,0,60,4,2006,0,0,0,0,0,0,0
843,844,0,0,2030,9,2012,1,18,2011,2,5,8,11
844,845,3,0,7860,11,2005,1,14,2011,1,4,7,10
845,846,0,2,8860,4,2004,1,37,2009,1,4,7,10
846,847,2,2,190,1,1990,1,31,2013,2,5,8,11
847,848,0,2,370,7,2007,1,14,2011,1,4,7,10
848,849,2,2,5000,1,1990,0,0,0,0,0,0,0
849,850,3,0,1120,5,2007,1,31,2013,1,4,7,10
850,851,3,2,2330,1,1990,1,49,2014,3,6,9,12
851,852,2,0,940,4,2004,1,14,2011,1,4,7,10
852,853,0,0,14040,1,1990,0,0,0,0,0,0,0
853,854,2,0,4770,1,1990,1,13,2010,1,4,7,10
854,855,0,0,3440,1,1990,1,45,2009,2,5,8,11
855,856,0,0,3020,2,2010,0,0,0,0,0,0,0
856,857,2,0,6270,8,2005,1,23,2014,3,6,9,12
857,858,0,0,3370,12,2008,1,40,2014,1,4,7,10
858,859,2,0,21770,7,2015,0,0,0,0,0,0,0
859,860,2,2,5980,2,2010,0,0,0,0,0,0,0
860,861,2,2,740,1,1990,1,14,2013,3,6,9,12
861,862,0,2,2840,3,2010,1,14,2011,1,4,7,10
862,863,0,2,21370,11,2010,0,0,0,0,0,0,0
863,864,0,0,1020,10,2012,1,45,2009,2,5,8,11
864,865,3,2,2640,1,1990,0,0,0,0,0,0,0
865,866,3,0,9680,1,1990,1,5,2013,2,5,8,11
866,867,3,2,21810,9,2012,0,0,0,0,0,0,0
867,868,3,2,1360,8,2005,1,10,2014,1,4,7,10
868,869,2,0,230,10,2001,1,14,2011,1,4,7,10
869,870,0,0,780,4,2009,0,0,0,0,0,0,0
870,871,3,2,10620,1,1990,0,0,0,0,0,0,0
871,872,0,2,3860,9,2014,1,23,2015,3,6,9,12
872,873,0,0,2040,11,2008,0,0,0,0,0,0,0
873,874,0,0,3210,1,1990,0,0,0,0,0,0,0
874,875,3,0,5070,11,2007,1,18,2015,2,5,8,11
875,876,0,0,21790,4,2005,1,18,2015,2,5,8,11
876,877,0,2,29190,1,1990,0,0,0,0,0,0,0
877,878,3,2,1100,12,2014,0,0,0,0,0,0,0
878,879,3,0,2325,1,1990,1,5,2013,2,5,8,11
879,880,0,2,4570,1,1990,0,0,0,0,0,0,0
880,881,0,0,180,3,2008,1,31,2013,2,5,8,11
881,882,0,0,30,4,2013,0,0,0,0,0,0,0
882,883,0,0,3200,6,2005,0,0,0,0,0,0,0
883,884,3,2,7550,1,1990,0,0,0,0,0,0,0
884,885,0,0,480,12,2005,0,0,0,0,0,0,0
885,886,0,2,12430,10,2004,0,0,0,0,0,0,0
886,887,3,0,19700,1,1990,1,37,2009,1,4,7,10
887,888,3,0,4450,6,2012,1,35,2012,3,6,9,12
888,889,3,0,18670,12,2005,0,0,0,0,0,0,0
889,890,0,0,4450,1,1990,1,14,2011,1,4,7,10
890,891,0,2,350,1,1990,1,31,2013,2,5,8,11
891,892,0,0,19370,4,2002,0,0,0,0,0,0,0
892,893,0,0,130,1,1990,1,1,2013,1,4,7,10
893,894,0,0,190,11,2012,0,0,0,0,0,0,0
894,895,0,2,4150,1,1990,0,0,0,0,0,0,0
895,896,0,2,170,9,2012,0,0,0,0,0,0,0
896,897,2,2,3290,1,2007,1,5,2013,2,5,8,11
897,898,0,0,18540,1,1990,0,0,0,0,0,0,0
898,899,3,0,2590,1,1990,1,13,2010,1,4,7,10
899,900,0,0,3920,4,2005,1,40,2014,1,4,7,10
900,901,0,2,3170,4,2014,0,0,0,0,0,0,0
901,902,0,0,310,5,2015,1,40,2014,1,4,7,10
902,903,3,2,7290,9,2014,0,0,0,0,0,0,0
903,904,3,2,570,7,2013,1,14,2011,1,4,7,10
904,905,0,0,90,6,2014,0,0,0,0,0,0,0
905,906,0,0,90,7,2010,0,0,0,0,0,0,0
906,907,0,2,250,1,1990,0,0,0,0,0,0,0
907,908,0,0,1980,7,2010,1,37,2009,1,4,7,10
908,909,0,2,1680,1,1990,1,45,2009,2,5,8,11
909,910,3,2,12480,1,1990,1,1,2013,1,4,7,10
910,911,0,2,16490,1,1990,0,0,0,0,0,0,0
911,912,2,2,3100,5,2010,0,0,0,0,0,0,0
912,913,0,0,280,1,1990,0,0,0,0,0,0,0
913,914,2,2,2640,4,2011,1,22,2012,3,6,9,12
914,915,3,2,650,3,2013,1,40,2014,1,4,7,10
